gesture,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62
வணக்கம்,0.498846693213158,0.9999999724839632,0.9999998382601832,0.6985409255241061,0.8728895573501879,0.6737729135951193,0.8214518640422203,0.6426214920145974,0.5453965693493578,0.919491785797225,0.4631699409230355,0.4353202889292586,0.9999999371742836,0.3159388161866845,0.3089974497046245,0.4942455747716816,0.4748786617456363,0.6990812189309087,0.4528589132016316,0.2741498140973871,0.4126710892767548,0.4175563666798667,0.1389414861928716,0.1834483766429032,0.3827049634349284,0.029608101198505,0.022290394365154,0.3364349263203448,0.5004703622182142,0.6515178273573181,0.288320528612949,0.2833134531908467,0.3841186237924963,0.2588674914014059,0.1285779619382832,0.1586642403410851,0.2348586928536054,0.0,0.0024113763904327,0.2019285102617146,0.5656643413173598,0.5575849529874396,0.1302750871883229,0.3549501726924831,0.2861106733522012,0.1117449785858323,0.2162937330291415,0.1264477432314647,0.1053370402143383,0.0985126054323387,0.0243579081569461,0.0827972892490162,0.6641416849523171,0.4317668814025658,0.0236562346174147,0.5117531533301191,0.1671397574780037,0.0065708330180343,0.4009787908855504,0.0580587324292638,0.0,0.3050955674793485,0.0
வணக்கம்,0.4753099094937436,0.9999999735674184,0.9999998301216276,0.7117938919279095,0.8002125932053374,0.8675413119755306,0.8136930604201552,0.59021436726014,0.7584315064031216,0.9105216433897024,0.4370855568631878,0.6028314307574012,0.9999999314198004,0.3102182031375423,0.4195212484897086,0.4852800103596693,0.4412811257241413,0.9656129855216096,0.4170375200801411,0.2562544908000579,0.6430623213829357,0.3810116118549635,0.1208750005960197,0.3366528162243092,0.3589653256973535,0.0006367402009592,0.1255693534574704,0.3551426123141543,0.4710810082703316,0.7969904963348479,0.275248546417794,0.2777847070322194,0.5209582757935972,0.233862541428316,0.1320971626086692,0.2260691354611347,0.2116928067779933,0.0,0.0204025834787661,0.2400375208754733,0.5356979678943332,0.588551065211721,0.1572584596167184,0.3563729267182425,0.3188678747005181,0.1208245990878079,0.224349734052503,0.1263877502314408,0.1023139676908557,0.1057028908960639,0.0,0.1390201711279445,0.638571016128136,0.3600345867222084,0.0398042700803658,0.5098032887036237,0.1300003530648849,0.0072864246514151,0.4109707796740272,0.0569733761595927,0.0,0.3182105806346249,0.0230609807324139
வணக்கம்,0.4450436225096792,0.9999999742194708,0.8817722419058397,0.7337785355507771,0.8021919338443776,0.8723793596164425,0.8287185656172837,0.6033667919291784,0.8407973568412596,0.9180613319775636,0.4717952804345073,0.7429719125684272,0.9999999195248076,0.3652102919688284,0.6203253232217735,0.4560045508626649,0.439552285728764,0.9999998502182934,0.414596359472178,0.2546037648407975,0.7564326023589876,0.3942099249209442,0.1198661617715169,0.5100486000026373,0.3797239052167664,0.0042052438883977,0.3326309396043314,0.3164461410987106,0.4618764275394646,0.8005645576722987,0.2526062042954464,0.2691480556356323,0.5860053475422977,0.2242993466031428,0.1253858469008974,0.3348804373395962,0.210748802393272,0.0,0.150870295038182,0.186918100806083,0.5147002467915935,0.5662503047435694,0.1216777688198272,0.3395700825896911,0.3441587576027933,0.1111737256909551,0.208987398472355,0.1680972684175747,0.106489632846047,0.0955228759455588,0.0445239295264581,0.0748229299544747,0.6036556801140098,0.3203521358680812,0.0002243654210804,0.4686437869330676,0.1234326162497091,0.0,0.3655171588332477,0.047921081222257,0.0214961500010886,0.274160880298169,0.0
வணக்கம்,0.7939164628860356,0.9999999743078812,0.8408346154175094,0.4637777121568702,0.8669478446968037,0.8678738797491901,0.3044759028411662,0.6520962292160838,0.8599530527992036,0.1738412802704655,0.5283231274736732,0.7804355283924028,0.0,0.4409684452123062,0.6809522096660227,0.6284581308811432,0.4900179074980202,0.9999998496267146,0.748146237797326,0.2846109375091244,0.7742059796420734,0.781433464872639,0.1360126499066728,0.5553414334347827,0.7775402138595688,0.015427170572795,0.3981547437057874,0.7095817280877107,0.5005583245131927,0.7782795897015584,0.8556659202765855,0.2849809164065333,0.586027284355016,0.8582428443766834,0.1277569597788731,0.4035911627419467,0.8286466753421541,0.0,0.2673645189086101,0.7694349930707355,0.5337522921466196,0.5146150940485945,0.9201304746412332,0.3290880364178368,0.3541878510989562,0.9436023613238408,0.1856869875611274,0.2620060214865069,0.942239976786202,0.0673298041445498,0.1864888858201958,0.7902631720974785,0.5869791775873081,0.2288556684457927,0.9135760140749252,0.4265276298043335,0.0957582132258069,0.9606662506865802,0.3081892056654599,0.0479954008406391,0.9999999227281284,0.2072151346541094,0.0
வணக்கம்,0.2374143012431028,0.9999999758187262,0.648972789923219,0.6418797020697914,0.8114560665340794,0.6678124385304043,0.7888305126229124,0.636051628422648,0.6638076703548456,0.8827786961597515,0.5240132171707136,0.5730993514065778,0.999999907038568,0.4253186557338076,0.4644546026912564,0.5047474250269757,0.444457029199624,0.999999822183564,0.4864374114915333,0.2701851053181271,0.7711023959782066,0.5007108552401487,0.1401178458363978,0.4954033936706653,0.5320168503905714,0.0275338963903428,0.2976011527882919,0.3441576075688792,0.4522342274602727,0.7813279911955805,0.3347416228506302,0.2619891326260339,0.5986351328701829,0.365223681244291,0.1233007842293424,0.3139846339669725,0.4181110568514226,0.0,0.1084758901266039,0.1775223550168672,0.4854758802641879,0.5165700533387436,0.1670153605648827,0.3094531174888785,0.3101880192136566,0.2074965868889594,0.1845451935941353,0.1239790842320863,0.264079764895286,0.0775061318273445,0.0,0.0127494100905964,0.5540179619789719,0.2369323890514142,0.0,0.4206784822538817,0.0773125088865565,0.0586081120194988,0.3273466261244122,0.0406628505770217,0.135887506414661,0.2463149627257894,0.0271588004045353
வணக்கம்,0.9999999026502652,0.9999999739449862,0.7905807181623185,0.520422417533525,0.8747249118102632,0.8568759608388514,0.3146560321652585,0.6759724573281275,0.8976942297898232,0.1675668110445621,0.5651148245703319,0.8752764591492038,0.0,0.4956997692219461,0.8375323054737991,0.5467732942786588,0.4671602910389358,0.9999998402550389,0.6655115181569965,0.2858394833362091,0.8373853799031459,0.7096551697576293,0.1583562107194476,0.6642349468728622,0.7319959412644916,0.0471597133950997,0.5279688313916627,0.643488143201333,0.4701296267458474,0.79184946855962,0.7604670501816184,0.2738590213187408,0.6400835861636033,0.7711569892359773,0.1294070511768749,0.478953273804522,0.775572108720568,0.0,0.355032313184824,0.7420597909610015,0.503902403812305,0.5497854654494592,0.8681433949885619,0.3101807370336052,0.3839740805311251,0.8895818783105722,0.1702215954482746,0.2462824117319507,0.8940057015397114,0.0478254844293847,0.1454937390686974,0.821673522594957,0.5618740244902152,0.2971595199814263,0.9178528011030854,0.399076544809143,0.1455092115739228,0.9313296791618456,0.2857014216498365,0.0643494351166445,0.9269836093840056,0.1880699120865562,0.0
வணக்கம்,0.2248752012686581,0.999999973590172,0.5614693949074092,0.6770902643931623,0.8392092138063614,0.7039719654519674,0.8212658247571517,0.6773337083525199,0.7768141147708195,0.8855445015679902,0.5664698988912047,0.7460208471423444,0.9999999049203424,0.4791986387399838,0.6905910880109439,0.5855983117174851,0.4561080066507417,0.999999828146372,0.6057480029516703,0.2635418805792755,0.9001198036786038,0.5888609125453632,0.1470138128906033,0.7388645915149799,0.5696060704873496,0.0402405854901528,0.596871580864667,0.4280966392869441,0.4481773682486252,0.7421720968192513,0.4334028285437483,0.2434622008632033,0.6605375608539746,0.4380711756550294,0.1122899092142747,0.4676527417107795,0.437574163161361,0.0,0.303542424860976,0.2581832557687954,0.4719842378648793,0.4488152559655942,0.2462393711504275,0.2774105216174246,0.3538607980448244,0.2533026724216205,0.1567359108918759,0.2284552378749709,0.2569206060129308,0.0507637676177912,0.1123426003569864,0.0844167503071443,0.5290382238256679,0.1483774155415409,0.0107903282547851,0.3760921539407322,0.0537068643767332,0.0,0.2745954720140056,0.0294417635956119,0.0050063949476245,0.1862493833277433,0.0
வணக்கம்,0.9999998925748153,0.9999999729459116,0.7798278586144747,0.480562237795507,0.861307023756587,0.8756584424561611,0.2821627631559715,0.6908737823080295,0.8710842018832724,0.1460341330087876,0.5862794787754438,0.7860261666071113,0.0,0.5026083253305973,0.6808767716167241,0.4892364360673974,0.4823648647861392,0.999999831881902,0.5456830753865656,0.2933627952740193,0.7989895944760222,0.5466339268247996,0.1640053779302886,0.594663267904498,0.5374570899138427,0.0485602299451782,0.4361514094075705,0.5950857304148156,0.4871044697816601,0.758597671129656,0.6510956824067948,0.2820183494710834,0.5601559181314565,0.6437750867883905,0.1375761781497056,0.3627154872798251,0.62783727995399,0.0,0.2123798906360095,0.7163298538056428,0.5194030266195027,0.4871862679548751,0.8049037462651448,0.3240863751796607,0.3024351041497615,0.8282844467817225,0.1904800516020235,0.1806574275945242,0.8133576799614443,0.0693960604866098,0.0869775994350176,0.8398880358481725,0.5775813876806425,0.2046615084652295,0.930063968912699,0.426201303487402,0.0831068846372012,0.948698095886092,0.3233134802850115,0.0439216278510876,0.9359176280698276,0.2316518223920821,0.0
வணக்கம்,0.0,0.999999972501453,0.3011412294764272,0.6022792064397207,0.8347179177289138,0.623239118472993,0.7401604013717975,0.6774450374330095,0.8147185347236116,0.8373568202119752,0.5765174740271665,0.8821662904536337,0.999999858621111,0.5069826292682975,0.928341648623869,0.3845621439238302,0.4704917551417675,0.9811653701245772,0.4106006534277995,0.2809232903930048,0.9999998764832516,0.4220025872080696,0.1581723860674742,0.9326125365764726,0.4291944724929973,0.0472453605421069,0.8557934722211941,0.2784619275652804,0.4601341625355668,0.6993902037680897,0.2853546600848265,0.2564968243523122,0.6973896255784789,0.3175165317568112,0.1194023432990769,0.585781722184505,0.3628204793513562,0.0,0.4846424131255177,0.148710103696968,0.4710468983721443,0.3911254999958924,0.165182887521418,0.2748045859545056,0.363581319950567,0.207119049124843,0.150740317972344,0.2919836013795004,0.2503268206521014,0.0431093222052472,0.2215292827473006,0.0367890486711689,0.5029741083312704,0.0875608412817302,0.0370620782373201,0.3348186505555615,0.045108119324616,0.0627222226943701,0.2280928152519297,0.0287420801872709,0.1061988103685488,0.1327275837733623,0.0
வணக்கம்,0.9999998876962524,0.9999999716967956,0.6730678909515837,0.435591290341953,0.8683174527612739,0.8465065491525886,0.2433486527155317,0.691632287770802,0.9046835342084302,0.1306079051991143,0.5919005830357493,0.876005832289404,0.0,0.5063295768655263,0.8322976960058723,0.4468978301448315,0.478546502217644,0.9999998336006573,0.4732132643565751,0.2908932907988613,0.8484224458681231,0.4678053231412856,0.157516346602616,0.692550940272328,0.4652087884248469,0.042978833565875,0.5706917231841638,0.5534996707562582,0.4818762233032209,0.7492159597970929,0.5663283863635145,0.2765441540603729,0.5957272315100735,0.537854862972653,0.1331329192918608,0.4520193567213896,0.5184454480105866,0.0,0.3434095121418216,0.6555898733195291,0.5092573696174041,0.4708040677905397,0.6841437226103577,0.3094403644337903,0.3235814401923757,0.6601289560501737,0.1734365887227373,0.240496279114236,0.6251169044019849,0.0536524980666705,0.1775917190724472,0.7358889979867069,0.5584021127877019,0.1855893004343643,0.7710101589823513,0.3973124419457369,0.0760904310557599,0.7498703902584921,0.2893802183015066,0.0381793898216387,0.7146267322653979,0.1959219695770605,0.0
